Time (us),Altitude (m),Velocity (m/s),Acceleration (m/s²),Air temperature (°C),Air pressure (mbar)
146.79,395.8,-6.6436,0.0040354,12.406,966.44
147.29,392.48,-6.6438,-3.99E-04,12.427,966.83
147.79,389.16,-6.645,-0.0023523,12.449,967.22
148.29,385.83,-6.6426,0.0047892,12.47,967.61
148.79,382.51,-6.6355,0.014219,12.492,968
149.29,379.19,-6.6443,-0.0175,12.514,968.39
149.79,375.87,-6.6349,0.018692,12.535,968.78
150.29,372.56,-6.6328,0.004177,12.557,969.17
150.79,369.24,-6.6411,-0.016539,12.578,969.56
151.29,365.92,-6.6323,0.017483,12.6,969.94
151.79,362.61,-6.6243,0.016087,12.622,970.33
152.29,359.29,-6.6386,-0.028594,12.643,970.72
152.79,355.98,-6.6225,0.032153,12.665,971.11
153.29,352.66,-6.6379,-0.030842,12.686,971.5
153.79,349.34,-6.629,0.017908,12.708,971.89
154.29,346.03,-6.6282,0.0015965,12.729,972.28
154.79,342.72,-6.628,4.81E-04,12.751,972.67
155.29,339.4,-6.6253,0.0052358,12.772,973.06
155.79,336.09,-6.6288,-0.0069584,12.794,973.44
156.29,332.77,-6.6248,0.0079538,12.815,973.83
156.79,329.46,-6.6225,0.0046391,12.837,974.22
157.29,326.15,-6.6241,-0.0031411,12.858,974.61
157.79,322.84,-6.6216,0.0049707,12.88,975
158.29,319.53,-6.6014,0.040349,12.902,975.39
158.79,316.23,-6.6298,-0.056831,12.923,975.77
159.29,312.92,-6.615,0.029647,12.945,976.16
159.79,309.61,-6.6211,-0.012214,12.966,976.55
160.29,306.3,-6.6165,0.0092319,12.988,976.94
160.79,302.99,-6.6167,-4.27E-04,13.009,977.33
161.29,299.68,-6.6126,0.0082846,13.031,977.71
161.79,296.37,-6.6157,-0.0063019,13.052,978.1
162.29,293.07,-6.608,0.015506,13.074,978.49
162.79,289.76,-6.6138,-0.011639,13.095,978.88
163.29,286.46,-6.6096,0.0084784,13.117,979.27
163.79,283.15,-6.6103,-0.0014762,13.138,979.65
164.29,279.85,-6.6034,0.013703,13.16,980.04
164.79,276.55,-6.6092,-0.011479,13.181,980.43
165.29,273.24,-6.5993,0.019836,13.202,980.82
165.79,269.94,-6.6061,-0.013685,13.224,981.2
166.29,266.64,-6.6032,0.0057265,13.245,981.59
166.79,263.34,-6.6028,8.11E-04,13.267,981.98
167.29,260.04,-6.6017,0.0023391,13.288,982.36
167.79,256.74,-6.6024,-0.0014179,13.31,982.75
168.29,253.44,-6.5961,0.012653,13.331,983.14
168.79,250.14,-6.6021,-0.012088,13.353,983.53
169.29,246.84,-6.5971,0.010007,13.374,983.91
169.79,243.54,-6.5985,-0.0028207,13.396,984.3
170.29,240.24,-6.5962,0.0045907,13.417,984.69
170.79,236.94,-6.5922,0.0080182,13.438,985.07
171.29,233.65,-6.5962,-0.0079558,13.46,985.46
171.79,230.35,-6.5926,0.0071425,13.481,985.85
172.29,227.05,-6.5925,3.03E-04,13.503,986.23
172.79,223.76,-6.5901,0.004655,13.524,986.62
173.29,220.46,-6.5902,-1.56E-04,13.546,987.01
173.79,217.17,-6.589,0.0023739,13.567,987.39
174.29,213.87,-6.5885,0.0010936,13.588,987.78
174.79,210.58,-6.5869,0.0032482,13.61,988.17
175.29,207.28,-6.5863,0.0010896,13.631,988.55
175.79,203.99,-6.5851,0.002362,13.653,988.94
176.29,200.7,-6.5824,0.0054957,13.674,989.33
176.79,197.41,-6.5839,-0.0030641,13.695,989.71
177.29,194.12,-6.5798,0.0081616,13.717,990.1
177.79,190.83,-6.5817,-0.0036498,13.738,990.48
178.29,187.54,-6.5793,0.0047156,13.76,990.87
178.79,184.25,-6.5775,0.0035662,13.781,991.26
179.29,180.96,-6.5785,-0.0020446,13.802,991.64
179.79,177.67,-6.5765,0.003976,13.824,992.03
180.29,174.38,-6.5667,0.019646,13.845,992.41
180.79,171.1,-6.5777,-0.022042,13.867,992.8
181.29,167.81,-6.5666,0.022346,13.888,993.18
181.79,164.53,-6.5605,0.012195,13.909,993.57
182.29,161.25,-6.5777,-0.034494,13.931,993.95
182.79,157.96,-6.5678,0.019937,13.952,994.34
183.29,154.68,-6.5661,0.0032807,13.973,994.72
183.79,151.39,-6.5688,-0.0053617,13.995,995.11
184.29,148.11,-6.5669,0.0038649,14.016,995.49
184.79,144.82,-6.5671,-4.18E-04,14.037,995.88
185.29,141.54,-6.5654,0.0032732,14.059,996.26
185.79,138.26,-6.5642,0.0025241,14.08,996.65
186.29,134.98,-6.5634,0.0016326,14.101,997.03
186.79,131.7,-6.5626,0.0015993,14.123,997.42
187.29,128.41,-6.5616,0.0018995,14.144,997.8
187.79,125.14,-6.5486,0.025927,14.165,998.19
188.29,121.86,-6.5652,-0.033024,14.187,998.57
188.79,118.58,-6.5488,0.032663,14.208,998.96
189.29,115.3,-6.5619,-0.026176,14.229,999.34
189.79,112.02,-6.5543,0.015198,14.251,999.73
190.29,108.75,-6.5562,-0.0038482,14.272,1000.1
190.79,105.47,-6.5523,0.0078737,14.293,1000.5
191.29,102.19,-6.5545,-0.0044403,14.314,1000.9
191.79,98.916,-6.5505,0.0080746,14.336,1001.3
192.29,95.64,-6.551,-9.54E-04,14.357,1001.6
192.79,92.366,-6.5477,0.0065955,14.378,1002
193.29,89.092,-6.5473,6.47E-04,14.4,1002.4
193.79,85.818,-6.5488,-0.0029043,14.421,1002.8
194.29,82.544,-6.5472,0.0032022,14.442,1003.2
194.79,79.271,-6.5441,0.0062243,14.463,1003.6
195.29,76,-6.5382,0.011735,14.485,1004
195.79,72.729,-6.5465,-0.01668,14.506,1004.3
196.29,69.461,-6.5273,0.038447,14.527,1004.7
196.79,66.191,-6.5503,-0.045877,14.549,1005.1
197.29,62.92,-6.5346,0.03142,14.57,1005.5
197.79,59.652,-6.5381,-0.0070317,14.591,1005.9
198.29,56.383,-6.5368,0.0024821,14.612,1006.3
198.79,53.114,-6.5397,-0.0056803,14.634,1006.6
199.29,49.845,-6.5359,0.0074647,14.655,1007
199.79,46.577,-6.5364,-8.52E-04,14.676,1007.4
200.29,43.309,-6.5354,0.0019694,14.697,1007.8
200.79,40.042,-6.5344,0.0020361,14.718,1008.2
201.29,36.775,-6.5328,0.0032123,14.74,1008.6
201.79,33.511,-6.5225,0.02044,14.761,1008.9
202.29,30.247,-6.5347,-0.024423,14.782,1009.3
202.79,26.981,-6.5287,0.011994,14.803,1009.7
203.29,23.717,-6.5261,0.0052843,14.825,1010.1
203.79,20.454,-6.528,-0.0038104,14.846,1010.5
204.29,17.19,-6.5276,8.80E-04,14.867,1010.9
204.79,13.928,-6.5203,0.014467,14.888,1011.2
205.29,10.666,-6.5284,-0.016075,14.909,1011.6
205.79,7.403,-6.5224,0.011938,14.931,1012
206.29,4.1413,-6.5244,-0.0040299,14.952,1012.4
206.79,0.87993,-6.5211,0.0067265,14.973,1012.8
207.29,-2.3801,-6.5192,0.0036275,14.994,1013.1
